"","College2000","College1990","College1980","Jobs1990","Jobs1980","Jobs2000","College1970","College1960","LandArea","LFP1960","LFP1970","LFP1980","LFP1990","LFP2000","Mobil1960","Mobil1970","Mobil1980","Mobil1990","Mobil2000","Pop1960","Pop1970","Pop1980","Pop1990","Pop2000","NatAmenity","Jobs1960","Jobs1970","ContigJobsK1960","ContigJobsK1970","ContigJobsK1980","ContigJobsK1990","ContigJobsK2000","Mobil1950","College1950","Pop1950","LFP1950"
"11",0.099,0.075,0.065,9915,8101,12376,0.029552,0.025904,699,0.451,0.491121,0.541,0.587,0.597,0.45,0.393,0.406,0.38,0.382,25693,25180,30612,32458,39593,4,6313,6686,8.20547,8.95443,11.42229,14.12071,19.16971,0.255428,0.01726,36922,0.477945
"12",0.096,0.085,0.07,6945,6533,6281,0.04318,0.041067,911,0.43,0.456255,0.495,0.538,0.487,0.375,0.348,0.258,0.261,0.303,17870,16589,16839,16018,15922,4,5815,5564,7.19308,7.10925,8.04275,8.67225,9.2295,0.150186,0.019575,19152,0.499553
"13",0.121,0.108,0.089,11302,10331,13340,0.05474,0.041088,1232,0.471,0.504874,0.53,0.554,0.543,0.291,0.37,0.307,0.332,0.302,25738,26724,27702,27240,27867,4,7985,9061,24.4567,25.339,34.08271,38.905,48.50229,0.173637,0.027178,26548,0.522586
"14",0.078,0.073,0.059,6217,5202,7313,0.043442,0.033026,603,0.468,0.530995,0.562,0.59,0.559,0.456,0.366,0.331,0.312,0.319,12400,12636,13703,13252,14254,4,3654,4153,10.53666,10.8828,12.3994,13.0934,14,0.227889,0.025175,13929,0.462995
"15",0.092,0.065,0.058,4020,3811,5138,0.026719,0.024229,574,0.486,0.552122,0.599,0.622,0.587,0.454,0.433,0.367,0.369,0.331,10911,10996,12595,12730,14123,4,2852,3383,15.81235,17.358,20.8312,22.4664,23.6562,0.260925,0.013502,11904,0.457564
"16",0.193,0.165,0.122,17681,14861,20707,0.058352,0.050381,677,0.529,0.582214,0.603,0.63,0.596,0.563,0.505,0.435,0.439,0.447,30583,34872,38533,40240,43615,3,9913,11946,12.40917,13.9262,13.0858,14.1142,13.9942,0.309166,0.021724,30720,0.526734
"17",0.141,0.115,0.094,28588,29777,28934,0.057918,0.051457,596,0.489,0.522878,0.579,0.586,0.562,0.503,0.406,0.386,0.359,0.378,46506,49632,54519,51666,54984,4,22284,25050,9.58878,11.986,16.16133,20.09533,23.931,0.202095,0.0415,39561,0.485222
"18",0.092,0.064,0.062,5671,5679,5935,0.041344,0.027191,850,0.455,0.498857,0.505,0.545,0.496,0.394,0.356,0.277,0.332,0.289,17762,15645,15884,14054,14089,3,5347,5071,13.05851,11.37675,12.68725,13.80525,14.7955,0.182487,0.025025,21776,0.487156
"19",0.08,0.063,0.036,3149,2974,2816,0.034338,0.035472,65,0.51,0.544818,0.568,0.57,0.543,0.414,0.424,0.339,0.303,0.338,10726,10662,11377,11063,12202,4,2299,2439,11.12441,12.20833,15.752,19.85133,25.957,0.211622,0.016978,11766,0.52585
"20",0.122,0.091,0.071,17945,17068,18313,0.046516,0.033998,984,0.557,0.55951,0.575,0.576,0.559,0.497,0.382,0.387,0.379,0.369,35631,34079,36850,36478,37631,3,16195,15750,9.32004,8.6285,9.731,10.5075,11.68683,0.279658,0.050809,40373,0.533428
"21",0.112,0.084,0.068,5637,5225,5512,0.039493,0.032915,611,0.477,0.50091,0.52,0.58,0.541,0.439,0.393,0.323,0.335,0.348,14909,13188,14110,13635,13665,3,5008,4798,22.58516,23.67083,28.87933,34.05683,39.35683,0.252753,0.019043,18981,0.500815
"22",0.119,0.078,0.073,30499,23537,39426,0.038513,0.0302,730,0.469,0.528875,0.57,0.606,0.602,0.486,0.455,0.403,0.397,0.408,45572,52445,61642,67613,77483,4,14774,19607,12.95028,15.86017,20.5125,26.00283,29.93967,0.259936,0.017664,49046,0.477485
"23",0.14,0.135,0.116,29235,26625,27222,0.089844,0.060166,559,0.577,0.654965,0.642,0.685,0.623,0.657,0.728,0.576,0.553,0.482,31066,52938,47821,49633,49129,3,25806,35161,11.11121,12.3205,15.43867,18.4855,21.2915,0.22982,0.020154,20828,0.474941
